comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion
@gameoftomes14,2,7,gameoftomes,neutral,0.7128307223320007,6,"{'anger': 0.007760306820273399, 'disgust': 0.003840235061943531, 'fear': 0.00674330024048686, 'joy': 0.028738508000969887, 'neutral': 0.798920214176178, 'sadness': 0.028886089101433754, 'surprise': 0.125111386179924}",0.007760306820273399,0.003840235061943531,0.00674330024048686,0.028738508000969887,0.798920214176178,0.028886089101433754,0.125111386179924,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@curtisthomas-eg4th,3,7,curtisthomasegth,neutral,0.892511248588562,0,"{'anger': 0.01145080104470253, 'disgust': 0.004146782215684652, 'fear': 0.005178689956665039, 'joy': 0.020215267315506935, 'neutral': 0.8078364729881287, 'sadness': 0.02042902074754238, 'surprise': 0.13074295222759247}",0.01145080104470253,0.004146782215684652,0.005178689956665039,0.020215267315506935,0.8078364729881287,0.02042902074754238,0.13074295222759247,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@steveconnolly1617,4,7,steveconnolly,neutral,0.8312307000160217,0,"{'anger': 0.012046943418681622, 'disgust': 0.0064338380470871925, 'fear': 0.007018876727670431, 'joy': 0.047793854027986526, 'neutral': 0.8047638535499573, 'sadness': 0.05340597778558731, 'surprise': 0.06853669136762619}",0.012046943418681622,0.0064338380470871925,0.007018876727670431,0.047793854027986526,0.8047638535499573,0.05340597778558731,0.06853669136762619,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@mr.freemans6thgrademathclass,5,7,mrfreemansthgrademathclass,neutral,0.8608817458152771,-1,"{'anger': 0.008811033330857754, 'disgust': 0.0036006520967930555, 'fear': 0.019579267129302025, 'joy': 0.054116908460855484, 'neutral': 0.8020192980766296, 'sadness': 0.03547368571162224, 'surprise': 0.07639917731285095}",0.008811033330857754,0.0036006520967930555,0.019579267129302025,0.054116908460855484,0.8020192980766296,0.03547368571162224,0.07639917731285095,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@themineralmonsters,36,7,themineralmonsters,neutral,0.8023821115493774,-1,"{'anger': 0.0047650993801653385, 'disgust': 0.0011842253152281046, 'fear': 0.002464363584294915, 'joy': 0.2239532172679901, 'neutral': 0.6418581604957581, 'sadness': 0.040822289884090424, 'surprise': 0.0849526897072792, 'fear_linguistic': 1.0, 'fear_sentence_count': 1}",0.0047650993801653385,0.0011842253152281046,0.002464363584294915,0.2239532172679901,0.6418581604957581,0.040822289884090424,0.0849526897072792,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,fear
@user-chumbuck3t,39,7,userchumbuckt,neutral,0.7337480187416077,-1,"{'anger': 0.070701003074646, 'disgust': 0.0846407487988472, 'fear': 0.004881392698734999, 'joy': 0.011275122873485088, 'neutral': 0.21654991805553436, 'sadness': 0.20478828251361847, 'surprise': 0.40716350078582764}",0.070701003074646,0.0846407487988472,0.004881392698734999,0.011275122873485088,0.21654991805553436,0.20478828251361847,0.40716350078582764,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,surprise
@FelicityRai,47,7,felicityrai,neutral,0.8720994591712952,0,"{'anger': 0.014372709207236767, 'disgust': 0.004190238658338785, 'fear': 0.012335250154137611, 'joy': 0.07358939945697784, 'neutral': 0.7286617755889893, 'sadness': 0.042210835963487625, 'surprise': 0.12463968992233276}",0.014372709207236767,0.004190238658338785,0.012335250154137611,0.07358939945697784,0.7286617755889893,0.042210835963487625,0.12463968992233276,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@PetarraTimothy,54,7,petarratimothy,neutral,0.7869595289230347,2,"{'anger': 0.007929982617497444, 'disgust': 0.003894032910466194, 'fear': 0.004063565284013748, 'joy': 0.030388295650482178, 'neutral': 0.8389569520950317, 'sadness': 0.029421238228678703, 'surprise': 0.08534584939479828}",0.007929982617497444,0.003894032910466194,0.004063565284013748,0.030388295650482178,0.8389569520950317,0.029421238228678703,0.08534584939479828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@HealthcareDecade,55,7,healthcaredecade,neutral,0.7558576464653015,-1,"{'anger': 0.004593972582370043, 'disgust': 0.0010218988172709942, 'fear': 0.0019020942272618413, 'joy': 0.056773483753204346, 'neutral': 0.8417173624038696, 'sadness': 0.028600160032510757, 'surprise': 0.06539101153612137, 'love_linguistic': 1.0, 'love_sentence_count': 1}",0.004593972582370043,0.0010218988172709942,0.0019020942272618413,0.056773483753204346,0.8417173624038696,0.028600160032510757,0.06539101153612137,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
687.00 salary in trust,67,2,salary trust,neutral,0.7450889945030212,1,"{'anger': 0.023600339889526367, 'disgust': 0.022513439878821373, 'fear': 0.4159975051879883, 'joy': 0.03903583437204361, 'neutral': 0.31162044405937195, 'sadness': 0.18113592267036438, 'surprise': 0.006096477620303631}",0.023600339889526367,0.022513439878821373,0.4159975051879883,0.03903583437204361,0.31162044405937195,0.18113592267036438,0.006096477620303631,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,fear
